:START_ID(Coach-ID),:END_ID(Country-ID),:TYPE
1968964,EGY,REPRESENTS
1969275,LBN,REPRESENTS
1969357,MAR,REPRESENTS
1969386,MAR,REPRESENTS
1969466,SYR,REPRESENTS
1970225,NED,REPRESENTS
1970227,NED,REPRESENTS
1970228,NED,REPRESENTS
1970229,NED,REPRESENTS
1970235,NED,REPRESENTS
1970236,NED,REPRESENTS
1970237,NED,REPRESENTS
1970317,NED,REPRESENTS
1970322,NED,REPRESENTS
1970733,GRE,REPRESENTS
1970859,CYP,REPRESENTS
1970880,NGR,REPRESENTS
1970974,MAR,REPRESENTS
1971523,CAN,REPRESENTS
1972037,NED,REPRESENTS
1972052,NED,REPRESENTS
1972055,NED,REPRESENTS
1972056,NED,REPRESENTS
1972359,AZE,REPRESENTS
1972419,AZE,REPRESENTS
