:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1928467,VVOWTEAM6---POL01,COACHES
1928468,VVOWTEAM6---POL01,COACHES
1928469,VVOWTEAM6---POL01,COACHES
1928470,VVOWTEAM6---POL01,COACHES
1928472,VVOWTEAM6---POL01,COACHES
1928477,VVOWTEAM6---POL01,COACHES
1928480,VVOWTEAM6---POL01,COACHES
1928714,FBLWTEAM11--ZAM01,COACHES
1929436,RU7MTEAM7---URU01,COACHES
1929630,RU7MTEAM7---URU01,COACHES
1929648,FENMTEAMEPEEKAZ01,COACHES
1929649,FENMTEAMEPEEKAZ01,COACHES
1929717,RU7MTEAM7---URU01,COACHES
1930168,FBLWTEAM11--FRA01,COACHES
1930169,FBLWTEAM11--FRA01,COACHES
1930171,FBLWTEAM11--FRA01,COACHES
1930172,FBLWTEAM11--FRA01,COACHES
1930636,FBLMTEAM11--ARG01,COACHES
1930646,FBLWTEAM11--COL01,COACHES
1930666,FBLWTEAM11--ZAM01,COACHES
1930922,SWAWTEAM2---USA01,COACHES
1931463,FBLWTEAM11--ZAM01,COACHES
1931488,HBLMTEAM7---EGY01,COACHES
1931494,HBLMTEAM7---EGY01,COACHES
1931502,HBLMTEAM7---EGY01,COACHES
1931888,HBLMTEAM7---EGY01,COACHES
1932163,HBLMTEAM7---HUN01,COACHES
1932174,HBLMTEAM7---HUN01,COACHES
1932176,HBLMTEAM7---HUN01,COACHES
1932190,HBLMTEAM7---HUN01,COACHES
1932535,HBLMTEAM7---HUN01,COACHES
1932778,FENWTEAMFOILPOL01,COACHES
1932780,FENWTEAMFOILPOL01,COACHES
1932782,FENMTEAMFOILPOL01,COACHES
1932782,FENWTEAMEPEEPOL01,COACHES
